SVI_ID,Image Name,Content,Language,Language-full,Longitude,Latitude,Category,full_stree,l_zip,post_type,NTAName
43,advertising sign_43E_.jpg,"*NYC mat-lovel movirs"" PIECE OF CAKE MOVING & STORAGE mypieceofcakemove.com 212-651-7273 5168;*NYC mat-lovel movirs"" PIECE OF CAKE MOVING & STORAGE mypieceofcakemove.com 212-651-7273 5168",en,English;English,-73.98920289,40.75294985,advertising sign;advertising sign,7 AVE,10018,AVE,Midtown-Times Square
44,,,,,-73.98929032,40.75283049,,7 AVE,10018,AVE,Midtown-Times Square
45,,,,,-73.98937784,40.75271118,,7 AVE,10018,AVE,Midtown-Times Square
46,,,,,-73.98946536,40.75259186,,7 AVE,10018,AVE,Midtown-Times Square
47,,,,,-73.98955288,40.75247254,,7 AVE,10018,AVE,Midtown-Times Square
48,,,,,-73.9896404,40.75235322,,7 AVE,10018,AVE,Midtown-Times Square
49,brand sign_49E_.jpg;brand sign_49E_4.jpg,662-430 Seventh A LABS;WEED WORLD;662-430 Seventh A LABS;WEED WORLD,en;en,English;English;English;English,-73.98972688,40.75223346,brand sign;brand sign;brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
50,,,,,-73.98981211,40.75211318,,7 AVE,10018,AVE,Midtown-Times Square
51,brand sign_51E_.jpg,The end Factory Cafe;The end Factory Cafe,en,English;English,-73.98989734,40.75199291,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
52,scaffold sign_52E_2.jpg;scaffold sign_52E_.jpg,ANDAMIO SOFOLONGUEr Santer 914-353-5555 PEDICHTEY;430 7th AVENUE;ANDAMIO SOFOLONGUEr Santer 914-353-5555 PEDICHTEY;430 7th AVENUE,bn-Latn;en,Bengali;English;Bengali;English,-73.98998257,40.75187263,scaffold sign;scaffold sign;scaffold sign;scaffold sign,7 AVE,10018,AVE,Midtown-Times Square
53,scaffold sign_53E_3.jpg;one way sign_53E_.jpg;brand sign_53E_.jpg,Starbucks Coffee;ONE WAY;STARBUCKS COFFEE;Starbucks Coffee;ONE WAY;STARBUCKS COFFEE,en;en;en,English;English;English;English;English;English,-73.9900678,40.75175236,scaffold sign;one way sign;brand sign;scaffold sign;one way sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
54,one way sign_54E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.99015359,40.75163231,one way sign;one way sign,7 AVE,10018,AVE,Midtown-Times Square
55,brand sign_55E_.jpg;brand sign_55E_3.jpg;brand sign_55E_2.jpg,"Always Fresh, Always On....;FLOOR Fields Baked Fresh Daily DELIVERY 212.594.5682;canteen;Always Fresh, Always On....;FLOOR Fields Baked Fresh Daily DELIVERY 212.594.5682;canteen",en;en;en,English;English;English;English;English;English,-73.99024133,40.75151308,brand sign;brand sign;brand sign;brand sign;brand sign;brand sign,7 AVE,10001,AVE,Midtown-Times Square
56,brand sign_56E_2.jpg,LST ST;LST ST,en,English;English,-73.99032906,40.75139385,brand sign;brand sign,7 AVE,10001,AVE,Midtown-Times Square
57,brand sign_57E_3.jpg;brand sign_57E_2.jpg,450 SEVENTH;KAUFMAN ORGANIZATION;450 SEVENTH;KAUFMAN ORGANIZATION,en;en,English;English;English;English,-73.9904168,40.75127462,brand sign;brand sign;brand sign;brand sign,7 AVE,10001,AVE,Midtown-Times Square
58,brand sign_58E_.jpg,citibank;citibank,en,English;English,-73.99050453,40.75115539,brand sign;brand sign,7 AVE,10001,AVE,Midtown-Times Square
59,one way sign_59E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.99059227,40.75103615,one way sign;one way sign,7 AVE,10001,AVE,Midtown-Times Square
60,one way sign_60E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.99067954,40.75091672,one way sign;one way sign,7 AVE,10001,AVE,Midtown South-Flatiron-Union Square
61,,,,,-73.99076667,40.75079724,,7 AVE,10001,AVE,Midtown South-Flatiron-Union Square
62,,,,,-73.99085381,40.75067775,,7 AVE,10001,AVE,Midtown South-Flatiron-Union Square
63,bus stop sign_63E_.jpg,t 120 TED;t 120 TED,en,English;English,-73.99094094,40.75055826,bus stop sign;bus stop sign,7 AVE,10001,AVE,Midtown South-Flatiron-Union Square
64,street name sign_64E_.jpg,Fashion Ave;Fashion Ave,en,English;English,-73.99102807,40.75043878,street name sign;street name sign,7 AVE,10001,AVE,Midtown South-Flatiron-Union Square
65,,,,,-73.99111522,40.7503193,,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
66,,,,,-73.99120244,40.75019984,,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
67,brand sign_67E_.jpg,MADISON SQUARE GARDEN;MADISON SQUARE GARDEN,en,English;English,-73.99128965,40.75008039,brand sign;brand sign,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
68,,,,,-73.99137687,40.74996093,,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
69,,,,,-73.99146408,40.74984148,,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
70,scaffold sign_70E_.jpg,CHASE O MARQUEE PARTNER MADISON SQUARE GARDEN;CHASE O MARQUEE PARTNER MADISON SQUARE GARDEN,en,English;English,-73.9915513,40.74972202,scaffold sign;scaffold sign,7 AVE,10121,AVE,Midtown South-Flatiron-Union Square
71,brand sign_71E_.jpg,100+160 West 32nd St;100+160 West 32nd St,en,English;English,-73.99142665,40.74964905,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
72,,,,,-73.99126917,40.74958328,,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
73,,,,,-73.99111169,40.74951751,,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
74,brand sign_74E_.jpg,ELLE;ELLE,fr,French;French,-73.99095421,40.74945174,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
75,bus stop sign_75E_.jpg,D NO 032 STARS GIRL wape PREZEN 7 A;D NO 032 STARS GIRL wape PREZEN 7 A,en,English;English,-73.99079673,40.74938597,bus stop sign;bus stop sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
76,,,,,-73.99063925,40.7493202,,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
77,,,,,-73.99048178,40.74925443,,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
78,brand sign_78E_.jpg,metro by F Mobile T;metro by F Mobile T,en,English;English,-73.9903243,40.74918866,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
79,brand sign_79E_.jpg,BE ARH;BE ARH,en,English;English,-73.99016682,40.74912289,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
80,,,,,-73.99000934,40.74905712,,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
81,for lease sign_81E_.jpg,ster lazerinc. FR DOORS MIRRORS WINDOWS CURTAIN WALLS Google Comm Cம;ster lazerinc. FR DOORS MIRRORS WINDOWS CURTAIN WALLS Google Comm Cம,en,English;English,-73.98985186,40.74899135,for lease sign;for lease sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
82,brand sign_82E_.jpg;brand sign_82E_2.jpg,CAFE;ELCOME Prose;CAFE;ELCOME Prose,en;en,English;English;English;English,-73.98969438,40.74892558,brand sign;brand sign;brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
83,brand sign_83E_.jpg;brand sign_83E_3.jpg;brand sign_83E_2.jpg,Great Food. Great Service & Great Value;FOOD COURT FOR SUB-LEASE W10;GREAT OPPORTUNITY FOR EXPERIENCED CHEF Contact 917-299-5707 Email the cafer@gmail.com;Great Food. Great Service & Great Value;FOOD COURT FOR SUB-LEASE W10;GREAT OPPORTUNITY FOR EXPERIENCED CHEF Contact 917-299-5707 Email the cafer@gmail.com,en;en;en,English;English;English;English;English;English,-73.9895369,40.74885981,brand sign;brand sign;brand sign;brand sign;brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
84,brand sign_84E_4.jpg;brand sign_84E_3.jpg,jack's WORTH EVERY PENNY;75 worth every peany;jack's WORTH EVERY PENNY;75 worth every peany,en;en,English;English;English;English,-73.98937942,40.74879403,brand sign;brand sign;brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
85,brand sign_85E_.jpg,THE YARD SPACE TO WORK;THE YARD SPACE TO WORK,en,English;English,-73.98922195,40.74872826,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
86,brand sign_86E_.jpg,Open 7 Days;Open 7 Days,en,English;English,-73.98906447,40.74866249,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
87,brand sign_87E_2.jpg;brand sign_87E_3.jpg,TD;TD;TD;TD,en;en,English;English;English;English,-73.98890699,40.74859672,brand sign;brand sign;brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
88,one way sign_88E_.jpg;direction sign_88E_.jpg,ONE WAY 300;Broadway;ONE WAY 300;Broadway,en;en,English;English;English;English,-73.98874951,40.74853095,one way sign;direction sign;one way sign;direction sign,AVE OF THE AMERICAS,10001,,Midtown South-Flatiron-Union Square
89,brand sign_89E_.jpg,52+56 West 32nd;52+56 West 32nd,en,English;English,-73.98859138,40.7484661,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
90,brand sign_90E_2.jpg,dinner;dinner,en,English;English,-73.9884329,40.74840173,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
91,brand sign_91E_2.jpg,SPEEDY'S;SPEEDY'S,en,English;English,-73.98827442,40.74833736,brand sign;brand sign,W  32 ST,10001,ST,Midtown South-Flatiron-Union Square
92,,,,,-73.98820564,40.74823827,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
93,,,,,-73.98823045,40.74810294,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
94,brand sign_94E_.jpg;for lease sign_94E_.jpg,away #IC Ave;STESC NOW HRING 招牌 城招 美女导购: A www W STAL M;away #IC Ave;STESC NOW HRING 招牌 城招 美女导购: A www W STAL M,en;zh-CN,English;Chinese;English;Chinese,-73.98825526,40.74796761,brand sign;for lease sign;brand sign;for lease sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
95,,,,,-73.98828008,40.74783229,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
96,,,,,-73.98830489,40.74769696,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
97,,,,,-73.9883297,40.74756163,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
98,for lease sign_98E_.jpg,KOREANS b CLOSED XVM301;KOREANS b CLOSED XVM301,en,English;English,-73.98835492,40.74742635,for lease sign;for lease sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
99,,,,,-73.9883802,40.74729107,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
100,,,,,-73.98840548,40.74715579,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
101,brand sign_101E_3.jpg;brand sign_101E_.jpg,JO RE DUNKIN' DONUTS 16;NUZHAT NY INC. PERFUMES Wholesale & Re;JO RE DUNKIN' DONUTS 16;NUZHAT NY INC. PERFUMES Wholesale & Re,en;en,English;English;English;English,-73.98843076,40.74702051,brand sign;brand sign;brand sign;brand sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
102,,,,,-73.98845604,40.74688523,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
103,promotion sign_103E_.jpg;for lease sign_103E_.jpg,TEMPORARY SIDEWALK CLOSING;TEMPORARY SIDEWALK CLOSING;TEMPORARY SIDEWALK CLOSING;TEMPORARY SIDEWALK CLOSING,en;en,English;English;English;English,-73.98848118,40.74674993,promotion sign;for lease sign;promotion sign;for lease sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
104,,,,,-73.98850605,40.74661461,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
105,,,,,-73.98853091,40.74647928,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
106,,,,,-73.98855578,40.74634396,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
107,brand sign_107E_.jpg,w your breasts like you Know Your G;w your breasts like you Know Your G,en,English;English,-73.98858064,40.74620863,brand sign;brand sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
108,,,,,-73.98860551,40.74607331,,W  29 ST,10001,ST,Midtown South-Flatiron-Union Square
109,,,,,-73.98863086,40.74593803,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
110,,,,,-73.98865632,40.74580277,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
111,,,,,-73.98868178,40.74566751,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
112,,,,,-73.98870724,40.74553224,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
113,,,,,-73.9887327,40.74539698,,BROADWAY,10001,,Midtown South-Flatiron-Union Square
114,street name sign_114E_.jpg;one way sign_114E_.jpg,W 28 St;BIKE LANE;W 28 St;BIKE LANE,en;en,English;English;English;English,-73.98872185,40.74527547,street name sign;one way sign;street name sign;one way sign,BROADWAY,10001,,Midtown South-Flatiron-Union Square
115,,,,,-73.98856459,40.74520939,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
116,,,,,-73.98840733,40.74514331,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
117,,,,,-73.98825007,40.74507723,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
118,,,,,-73.98809281,40.74501115,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
119,,,,,-73.98793556,40.74494507,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
120,brand sign_120E_.jpg,BONDI;BONDI,en,English;English,-73.9877783,40.74487899,brand sign;brand sign,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
121,,,,,-73.98762104,40.74481291,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
122,,,,,-73.98746378,40.74474683,,W  28 ST,10001,ST,Midtown South-Flatiron-Union Square
123,,,,,-73.98730653,40.74468075,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
124,,,,,-73.98738443,40.74456316,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
125,,,,,-73.98747139,40.74444358,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
126,,,,,-73.98755835,40.74432401,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
127,,,,,-73.9876453,40.74420444,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
128,,,,,-73.98773226,40.74408486,,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
129,brand sign_129E_2.jpg,VISPRING Luxury Beds-London 1001;VISPRING Luxury Beds-London 1001,en,English;English,-73.98781931,40.74396533,brand sign;brand sign,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
130,brand sign_130E_2.jpg,TheCleanBedroom;TheCleanBedroom,en,English;English,-73.98790639,40.7438458,brand sign;brand sign,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
131,for lease sign_131E_.jpg,212-309-2925 212-916-3374 M NEWMARK;212-309-2925 212-916-3374 M NEWMARK,en,English;English,-73.98799346,40.74372628,for lease sign;for lease sign,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
132,scaffold sign_132E_.jpg,220 Fifth Ave Te Contract SLIC;220 Fifth Ave Te Contract SLIC,en,English;English,-73.98808053,40.74360675,scaffold sign;scaffold sign,5 AVE,10001,AVE,Midtown South-Flatiron-Union Square
133,,,,,-73.98816761,40.74348723,,5 AVE,10010,AVE,Midtown South-Flatiron-Union Square
134,brand sign_134E_.jpg;brand sign_134E_2.jpg,Togas HOUSE OF TEXTILES;Togas HOUSE OF TEXTILE;Togas HOUSE OF TEXTILES;Togas HOUSE OF TEXTILE,en;en,English;English;English;English,-73.9882556,40.74336809,brand sign;brand sign;brand sign;brand sign,5 AVE,10010,AVE,Midtown South-Flatiron-Union Square
135,,,,,-73.98833678,40.74324672,,5 AVE,10010,AVE,Midtown South-Flatiron-Union Square
136,advertising sign_136E_.jpg,POLICI SAWTOOTH ALE y IM SOMETIMES YOU're NOT IN THE MOOD FOR What everyone else IS HAVING MM MODER;POLICI SAWTOOTH ALE y IM SOMETIMES YOU're NOT IN THE MOOD FOR What everyone else IS HAVING MM MODER,en,English;English,-73.9883921,40.74311671,advertising sign;advertising sign,5 AVE,10010,AVE,Midtown South-Flatiron-Union Square
137,,,,,-73.98844742,40.7429867,,5 AVE,10010,AVE,Midtown South-Flatiron-Union Square
138,,,,,-73.98850274,40.7428567,,,,,Midtown South-Flatiron-Union Square
139,,,,,-73.98855807,40.74272669,,,,,Midtown South-Flatiron-Union Square
140,,,,,-73.98861339,40.74259668,,,,,Midtown South-Flatiron-Union Square
141,,,,,-73.98866871,40.74246667,,,,,Midtown South-Flatiron-Union Square
142,,,,,-73.98872404,40.74233666,,,,,Midtown South-Flatiron-Union Square
143,,,,,-73.98877936,40.74220665,,,,,Midtown South-Flatiron-Union Square
144,,,,,-73.98883468,40.74207664,,,,,Midtown South-Flatiron-Union Square
145,,,,,-73.98889,40.74194663,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
146,,,,,-73.98894533,40.74181662,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
147,,,,,-73.98900065,40.74168661,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
148,,,,,-73.98905597,40.7415566,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
149,,,,,-73.98911129,40.74142659,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
150,brand sign_150E_2.jpg,T Mobile;T Mobile,en,English;English,-73.9891652,40.74129624,brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
151,,,,,-73.9892178,40.74116558,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
152,brand sign_152E_.jpg;brand sign_152E_3.jpg,BEER WI;T Mobile;BEER WI;T Mobile,en;en,English;English;English;English,-73.98927039,40.74103491,brand sign;brand sign;brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
153,,,,,-73.98932299,40.74090425,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
154,,,,,-73.98937559,40.74077358,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
155,,,,,-73.98942819,40.74064292,,BROADWAY,10010,,Midtown South-Flatiron-Union Square
156,parking regulation sign_156E_.jpg,NOSTOPPING play;NOSTOPPING play,en,English;English,-73.98945669,40.7405083,parking regulation sign;parking regulation sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
157,brand sign_157E_.jpg;for lease sign_157E_.jpg,LE PAIN QUOTIDIEN;DE THOR EQUITHS PRIME RETAK/RESTAURANT SPACE FOR LEASE SAM SABIN 212.529.7413 L.;LE PAIN QUOTIDIEN;DE THOR EQUITHS PRIME RETAK/RESTAURANT SPACE FOR LEASE SAM SABIN 212.529.7413 L.,fr;en,French;English;French;English,-73.98947959,40.74037276,brand sign;for lease sign;brand sign;for lease sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
158,brand sign_158E_.jpg;brand sign_158E_2.jpg,LE PAIN QUOTID;FLATIRON WINES & SPIRITS;LE PAIN QUOTID;FLATIRON WINES & SPIRITS,fr;en,French;English;French;English,-73.98950249,40.74023722,brand sign;brand sign;brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
159,brand sign_159E_2.jpg;brand sign_159E_3.jpg;brand sign_159E_.jpg,ALL DAY BAKERY AND RESTAURANT AIR;ALL DAY BAKERY AND RESTAURANT;Somers C;ALL DAY BAKERY AND RESTAURANT AIR;ALL DAY BAKERY AND RESTAURANT;Somers C,en;en;en,English;English;English;English;English;English,-73.98952539,40.74010169,brand sign;brand sign;brand sign;brand sign;brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
160,one way sign_160E_.jpg;street name sign_160E_.jpg,ONE WAY;Broadway;ONE WAY;Broadway,en;en,English;English;English;English,-73.9895483,40.73996615,one way sign;street name sign;one way sign;street name sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
161,brand sign_161E_.jpg,On your ton now;On your ton now,en,English;English,-73.9895746,40.73983104,brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
162,brand sign_162E_.jpg,charles SCHWAB;charles SCHWAB,en,English;English,-73.9896105,40.73969714,brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
163,brand sign_163E_.jpg,MINED UP bar & kitoben 2ND FLOOR WINE BAR;MINED UP bar & kitoben 2ND FLOOR WINE BAR,en,English;English,-73.98964641,40.73956324,brand sign;brand sign,BROADWAY,10010,,Midtown South-Flatiron-Union Square
